simulation,ignition,weather
105,7048,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather69.csv
106,4726,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather43.csv
107,7333,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather1.csv
108,2724,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather123.csv
109,1183,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather66.csv
110,2650,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather106.csv
111,960,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather35.csv
112,2358,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather77.csv
113,6110,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather7.csv
114,3057,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather71.csv
115,8754,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather10.csv
116,8601,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather8.csv
117,9345,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather47.csv
118,9128,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather7.csv
119,3289,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather127.csv
120,8307,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather64.csv
121,511,/Users/matiasvilches/Documents/F2A/source/firebreaks_optimization/forest/sub100/Weathers/Weather16.csv
