simulation,ignition,weather
127,241,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather128.csv
128,9045,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather41.csv
129,7215,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather10.csv
130,8378,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather27.csv
131,7561,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather120.csv
132,5041,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather101.csv
133,4815,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather59.csv
134,7239,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather115.csv
135,3409,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather97.csv
136,3596,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather114.csv
137,174,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather60.csv
138,9893,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather56.csv
139,2271,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather104.csv
140,4152,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather22.csv
141,8721,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather1.csv
142,9780,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather108.csv
143,6569,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather102.csv
144,5850,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather34.csv
145,2371,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather122.csv
146,6956,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather85.csv
