fueltype,lat,lon,elev,ws,waz,ps,saz,cur,cbd,cbh,ccf,ftypeN,fmc,py,jd,jd_min,pc,pdf,time,ffmc,bui,gfl,pattern,
O1a,51.621244,-115.608378,2289.000000,,,53.000000,198.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2302.000000,,,40.000000,200.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2314.000000,,,28.000000,205.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2328.000000,,,17.000000,204.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2344.000000,,,18.000000,121.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2350.000000,,,56.000000,94.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2348.000000,,,67.000000,91.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2347.000000,,,36.000000,97.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2341.000000,,,15.000000,131.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2333.000000,,,15.000000,131.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2334.000000,,,16.000000,123.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2327.000000,,,13.000000,136.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2311.000000,,,13.000000,147.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2299.000000,,,16.000000,138.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2288.000000,,,18.000000,133.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2281.000000,,,18.000000,137.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2271.000000,,,14.000000,149.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2251.000000,,,9.000000,172.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2250.000000,,,60.000000,182.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2257.000000,,,66.000000,191.000000,60,,,,31,,,,,,,20,,,0.350000,,
C1,51.621244,-115.608378,2267.000000,,,71.000000,198.000000,,,,,1,,,,,,,20,,,0.750000,,
O1a,51.621244,-115.608378,2280.000000,,,67.000000,202.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2291.000000,,,55.000000,209.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2297.000000,,,36.000000,213.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2314.000000,,,15.000000,155.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2332.000000,,,47.000000,92.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2341.000000,,,66.000000,86.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2344.000000,,,45.000000,90.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2340.000000,,,20.000000,120.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2331.000000,,,19.000000,144.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2320.000000,,,19.000000,141.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2311.000000,,,18.000000,144.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2299.000000,,,17.000000,151.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2288.000000,,,17.000000,145.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2280.000000,,,18.000000,135.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2261.000000,,,18.000000,133.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2224.000000,,,13.000000,155.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2185.000000,,,12.000000,183.000000,60,,,,31,,,,,,,20,,,0.350000,,
C1,51.621244,-115.608378,2238.000000,,,25.000000,172.000000,,,,,1,,,,,,,20,,,0.750000,,
O1a,51.621244,-115.608378,2240.000000,,,36.000000,185.000000,60,,,,31,,,,,,,20,,,0.350000,,
C1,51.621244,-115.608378,2248.000000,,,51.000000,200.000000,,,,,1,,,,,,,20,,,0.750000,,
O1a,51.621244,-115.608378,2259.000000,,,62.000000,208.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2262.000000,,,66.000000,215.000000,60,,,,31,,,,,,,20,,,0.350000,,
C1,51.621244,-115.608378,2274.000000,,,57.000000,218.000000,,,,,1,,,,,,,20,,,0.750000,,
O1a,51.621244,-115.608378,2300.000000,,,28.000000,205.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2322.000000,,,33.000000,96.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2335.000000,,,66.000000,85.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2340.000000,,,57.000000,92.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2341.000000,,,31.000000,117.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2336.000000,,,21.000000,149.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2319.000000,,,20.000000,148.000000,60,,,,31,,,,,,,20,,,0.350000,,
